time,undefended_attacks,activity,temp
1747666039.8273234,190,299,1.25
1747666079.829283,180,317,1.5
1747666119.8296528,154,355,1.75
1747666159.8304589,186,529,2.0
1747666199.8310714,166,707,2.25
1747666239.831158,101,1002,2.5
1747666279.8319862,112,2464,2.75
1747666319.8321412,58,1992,3.0
1747666359.832875,102,1669,3.25
1747666399.8335972,183,270,1.25
1747666439.8355317,181,334,1.5
1747666479.836535,166,411,1.75
1747666519.8384702,181,714,2.0
1747666559.8403761,140,828,2.25
1747666599.8412356,129,808,2.5
1747666639.8432097,37,1894,2.75
1747666679.844565,49,2464,3.0
1747666719.8446863,23,1729,3.25
1747666759.8456302,163,227,1.25
1747666799.8466144,179,352,1.5
1747666839.847732,98,1554,1.75
1747666879.8482862,160,718,2.0
1747666919.8491786,142,1234,2.25
1747666959.849306,133,1066,2.5
1747666999.8503401,31,2895,2.75
1747667039.850368,126,2295,3.0
1747667079.8505936,53,1797,3.25
1747667119.8509688,193,266,1.25
1747667159.8526576,178,281,1.5
1747667199.8533576,173,398,1.75
1747667239.8541813,158,765,2.0
1747667279.8544888,163,755,2.25
1747667319.8547688,130,761,2.5
1747667359.8552103,140,1831,2.75
1747667399.8566425,120,1836,3.0
1747667439.858446,36,3431,3.25
1747667479.8586535,185,251,1.25
1747667519.8587039,168,312,1.5
1747667559.8606727,172,407,1.75
1747667599.8620942,135,1113,2.0
1747667639.8628807,131,1032,2.25
1747667679.8631065,152,1098,2.5
1747667719.8640501,127,1182,2.75
1747667759.8642266,121,1754,3.0
1747667799.8643003,25,5062,3.25
1747667799.8643003,25,5062,3.25
