time,undefended_attacks,activity,temp
1748334711.4391637,340,451,1.25
1748334751.4398139,276,559,1.5
1748334791.4406505,251,609,1.75
1748334831.4422793,181,722,2.0
1748334871.4425566,164,1143,2.25
1748334911.4426198,114,684,2.5
1748334951.4426303,118,1279,2.75
1748334991.4432118,36,2574,3.0
1748335031.4441507,24,4829,3.25
1748335071.44417,335,472,1.25
1748335111.445209,269,504,1.5
1748335151.4453118,311,880,1.75
1748335191.4472365,249,926,2.0
1748335231.4474027,206,1038,2.25
1748335271.4474955,106,3479,2.5
1748335311.4479954,54,669,2.75
1748335351.448316,97,4255,3.0
1748335391.449237,30,6037,3.25
1748335431.449237,320,508,1.25
1748335471.4498112,298,552,1.5
1748335511.4500556,65,950,1.75
1748335551.4509864,182,685,2.0
1748335591.4513376,218,1071,2.25
1748335631.4518673,39,3684,2.5
1748335671.4525602,161,1545,2.75
1748335711.4534209,27,2949,3.0
1748335751.4539227,40,4793,3.25
1748335791.4553983,354,540,1.25
1748335831.4563603,288,532,1.5
1748335871.4572227,290,665,1.75
1748335911.4580133,267,802,2.0
1748335951.458782,182,2809,2.25
1748335991.4592931,180,1005,2.5
1748336031.4598064,80,1396,2.75
1748336071.4602528,67,2806,3.0
1748336111.4611447,40,3914,3.25
1748336151.462037,254,436,1.25
1748336191.46258,313,738,1.5
1748336231.4630687,250,545,1.75
1748336271.4639902,270,797,2.0
1748336311.464316,98,2886,2.25
1748336351.464974,59,3949,2.5
1748336391.4657845,93,2198,2.75
1748336431.4664533,91,1047,3.0
1748336471.4671707,107,1682,3.25
1748336471.4671707,107,1682,3.25
