time,undefended_attacks,activity,temp
270.5,628,1849,2.0
45.8,117,883,2.25
59.1,197,1161,2.5
17.7,72,934,2.75
5.5,16,429,3.0
7.6,26,497,3.25
9.4,34,971,3.5
6.9,25,715,3.75
4.4,12,430,4.0
35.8,148,556,2.0
4.5,13,243,2.25
34.4,143,717,2.5
9.3,28,594,2.75
11.8,45,776,3.0
4.4,12,272,3.25
7.6,26,567,3.5
3.9,9,276,3.75
7.5,27,725,4.0
21.2,89,323,2.0
67.1,283,1159,2.25
25.6,97,619,2.5
7.2,28,416,2.75
8.4,32,554,3.0
18.6,78,1105,3.25
5.7,19,459,3.5
9.1,30,470,3.75
5.0,15,348,4.0
109.7,418,1181,2.0
19.9,80,621,2.25
16.3,64,386,2.5
13.8,50,588,2.75
5.1,14,320,3.0
10.9,37,625,3.25
5.6,17,472,3.5
4.9,14,351,3.75
7.1,23,834,4.0
120.5,480,1399,2.0
19.3,80,612,2.25
18.3,74,486,2.5
24.1,97,774,2.75
12.4,45,508,3.0
14.5,51,790,3.25
8.3,31,494,3.5
7.8,28,580,3.75
8.1,29,769,4.0
8.1,29,769,4.0
