time,undefended_attacks,activity,temp
85.3,342,1122,2.0
16.2,67,528,2.25
28.9,116,846,2.5
23.3,89,849,2.75
4.5,15,170,3.0
4.0,9,198,3.25
12.0,45,614,3.5
4.8,13,305,3.75
8.2,29,941,4.0
129.3,508,1645,2.0
123.6,496,2099,2.25
18.3,80,725,2.5
8.0,27,541,2.75
10.9,42,510,3.0
7.6,25,550,3.25
9.4,34,732,3.5
7.7,28,634,3.75
5.5,16,538,4.0
134.7,488,1453,2.0
39.1,163,807,2.25
71.7,264,1737,2.5
46.6,167,1076,2.75
7.3,28,402,3.0
8.1,29,430,3.25
7.6,27,621,3.5
8.2,28,485,3.75
6.0,19,551,4.0
95.1,396,1157,2.0
51.3,203,1263,2.25
47.1,192,1119,2.5
14.1,54,985,2.75
7.9,27,547,3.0
9.1,34,645,3.25
6.2,19,571,3.5
6.9,25,345,3.75
5.8,18,401,4.0
10.6,41,353,2.0
36.4,132,693,2.25
21.5,89,647,2.5
24.1,87,911,2.75
8.9,34,659,3.0
9.3,35,564,3.25
20.2,87,1177,3.5
6.3,19,519,3.75
5.4,16,563,4.0
5.4,16,563,4.0
